Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor m/z,Precursor Charge,Precursor RT,Precursor CE,Product m/z,Product Charge,Label,notes
Nucleotides,ADP,C10H15N5O10P2,[M+H]+,428,1,5.358,,136.1,1,,
Nucleotides,ADP,C10H15N5O10P2,[M+H]+,428,1,5.358,,348.1,1,,
Nucleotides,ADPR,C15H23N5O14P2,[M+H]+,560.1,1,4.47,,97.14,1,,
Nucleotides,ADPR,C15H23N5O14P2,[M+H]+,560.1,1,4.47,,136,1,,
Nucleotides,ADPR,C15H23N5O14P2,[M+H]+,560.1,1,4.47,,347.9,1,,
Nucleotides,ADPR,C15H23N5O14P2,[M+H]+,560.1,1,4.47,,427.8,1,,
Nucleotides,AICAR,C9H14N4O5,[M+H]+,259,1,5.664,,55.1,1,,
Nucleotides,AICAR,C9H14N4O5,[M+H]+,259,1,5.664,,82.1,1,,
Nucleotides,AICAR,C9H14N4O5,[M+H]+,259,1,5.664,,110,1,,
Nucleotides,AICAR,C9H14N4O5,[M+H]+,259,1,5.664,,127,1,,
Nucleotides,AMP,C10H14N5O7P,[M+H]+,348,1,4.634,,118.9,1,,
Nucleotides,AMP,C10H14N5O7P,[M+H]+,348,1,4.634,,136.1,1,,
Nucleotides,ATP,C10H16N5O13P3,[M+H]+,508,1,6.164,,136,1,,
Nucleotides,ATP,C10H16N5O13P3,[M+H]+,508,1,6.164,,410.1,1,,
Nucleotides,cADPR,C15H21N5O13P2,[M+H]+,542.1,1,3.6,,97.1,1,,
Nucleotides,cADPR,C15H21N5O13P2,[M+H]+,542.1,1,3.6,,136,1,,
Nucleotides,cAMP,C10H12N5O6P,[M+H]+,330,1,6.051,,136,1,,
Nucleotides,cAMP,C10H12N5O6P,[M+H]+,330,1,6.051,,118.9,1,,
Nucleotides,CDP,C9H15N3O11P2,[M+H]+,404,1,4.346,,69,1,,
Nucleotides,CDP,C9H15N3O11P2,[M+H]+,404,1,4.346,,112,1,,
Nucleotides,CMP,C9H14N3O8P,[M+H]+,324,1,3.522,,112.1,1,,
Nucleotides,CMP,C9H14N3O8P,[M+H]+,324,1,3.522,,69.1,1,,
Nucleotides,Creatine,C4H9N3O2,[M+H]+,132.1,1,2.485,,90,1,,
Nucleotides,Creatine,C4H9N3O2,[M+H]+,132.1,1,2.485,,44.2,1,,
Nucleotides,Creatinine,C4H7N3O,[M+H]+,114.1,1,4.022,,44.2,1,,
Nucleotides,Creatinine,C4H7N3O,[M+H]+,114.1,1,4.022,,86.1,1,,
Nucleotides,CTP,C9H16N3O14P3,[M+H]+,484,1,5.298,,112.1,1,,
Nucleotides,CTP,C9H16N3O14P3,[M+H]+,484,1,5.298,,97.1,1,,
Nucleotides,FAD,C27H33N9O15P2,[M+H]+,786.1,1,7.083,,348.1,1,,
Nucleotides,FAD,C27H33N9O15P2,[M+H]+,786.1,1,7.083,,439.2,1,,
Nucleotides,GDP,C10H15N5O11P2,[M+H]+,444,1,5.088,,97,1,,
Nucleotides,GDP,C10H15N5O11P2,[M+H]+,444,1,5.088,,152,1,,
Nucleotides,GMP,C10H14N5O8P,[M+H]+,364,1,4.211,,97,1,,
Nucleotides,GMP,C10H14N5O8P,[M+H]+,364,1,4.211,,152.1,1,,
Nucleotides,GTP,C10H16N5O14P3,[M+H]+,524,1,5.97,,134.9,1,,
Nucleotides,GTP,C10H16N5O14P3,[M+H]+,524,1,5.97,,152,1,,
Nucleotides,Hypoxanthine,C5H4N4O,[M+H]+,137,1,4.08,,55.1,1,,
Nucleotides,Hypoxanthine,C5H4N4O,[M+H]+,137,1,4.08,,110,1,,
Nucleotides,IDP,C10H14N4O11P2,[M+H]+,429,1,4.877,,97,1,,
Nucleotides,IDP,C10H14N4O11P2,[M+H]+,429,1,4.877,,137,1,,
Nucleotides,IMP,C10H13N4O8P,[M+H]+,349,1,4.077,,110,1,,
Nucleotides,IMP,C10H13N4O8P,[M+H]+,349,1,4.077,,137,1,,
Nucleotides,ITP,C10H15N4O14P3,[M+H]+,509,1,5.743,,97.1,1,,
Nucleotides,ITP,C10H15N4O14P3,[M+H]+,509,1,5.743,,137,1,,
Nucleotides,Methylnicotinamide,C7H9N2O,[M+H]+,137.1,1,4.08,,94.1,1,+,
Nucleotides,Methylnicotinamide,C7H9N2O,[M+H]+,137.1,1,4.08,,92,1,+,
Nucleotides,NAD,C21H27N7O14P2,[M+H]+,664.1,1,4.554,,136.1,1,,
Nucleotides,NAD,C21H27N7O14P2,[M+H]+,664.1,1,4.554,,428,1,,
Nucleotides,NADH,C21H29N7O14P2,[M+H]+,666.1,1,4.553,,136,1,,
Nucleotides,NADH,C21H29N7O14P2,[M+H]+,666.1,1,4.553,,514.1,1,,
Nucleotides,NADP,C21H28N7O17P3,[M+H]+,744.1,1,4.688,,136.3,1,,
Nucleotides,NADP,C21H28N7O17P3,[M+H]+,744.1,1,4.688,,604,1,,
Nucleotides,NADPH,C21H31N7O17P3,[M+H]+,746.1,1,5.225,,136,1,+,
Nucleotides,NADPH,C21H31N7O17P3,[M+H]+,746.1,1,5.225,,729.1,1,+,
Nucleotides,Nicotinamide,C6H6N2O,[M+H]+,123.1,1,5.6,,52.9,1,,
Nucleotides,Nicotinamide,C6H6N2O,[M+H]+,123.1,1,5.6,,77.9,1,,
Nucleotides,Nicotinamide,C6H6N2O,[M+H]+,123.1,1,5.6,,79.9,1,,
Nucleotides,Nicotinamide riboside (NR),C11H15N2O5,[M+H]+,255.1,1,4.728,,80.1,1,+,
Nucleotides,Nicotinamide riboside (NR),C11H15N2O5,[M+H]+,255.1,1,4.728,,123,1,+,
Nucleotides,NMN,C11H15N2O8P,[M+H]+,335.1,1,2.59,,79.9,1,,
Nucleotides,NMN,C11H15N2O8P,[M+H]+,335.1,1,2.59,,86.8,1,,
Nucleotides,NMN,C11H15N2O8P,[M+H]+,335.1,1,2.59,,122.9,1,,
Nucleotides,P-AICAR,C9H17N4O9P,[M+H]+,339.1,1,2.807,,110,1,,
Nucleotides,P-AICAR,C9H17N4O9P,[M+H]+,339.1,1,2.807,,127,1,,
Nucleotides,P-Creatine,C4H10N3O5P,[M+H]+,212,1,3.138,,90.1,1,,
Nucleotides,P-Creatine,C4H10N3O5P,[M+H]+,212,1,3.138,,114,1,,
Nucleotides,TDP,C10H16N2O11P2,[M+H]+,403,1,5.004,,81.1,1,,
Nucleotides,TDP,C10H16N2O11P2,[M+H]+,403,1,5.004,,207,1,,
Nucleotides,THF,C19H23N7O6,[M+H]+,446,1,5.054,,106.9,1,,
Nucleotides,THF,C19H23N7O6,[M+H]+,446,1,5.054,,120,1,,
Nucleotides,THF,C19H23N7O6,[M+H]+,446,1,5.054,,166,1,,
Nucleotides,THF,C19H23N7O6,[M+H]+,446,1,5.054,,229.2,1,,
Nucleotides,TMP,C10H15N2O8P,[M+H]+,323,1,4.357,,126.9,1,,
Nucleotides,TMP,C10H15N2O8P,[M+H]+,323,1,4.357,,207.1,1,,
Nucleotides,TTP,C10H17N2O14P3,[M+H]+,483,1,5.838,,53,1,,
Nucleotides,TTP,C10H17N2O14P3,[M+H]+,483,1,5.838,,81.1,1,,
Nucleotides,UDP,C9H14N2O12P2,[M+H]+,405,1,4.447,,69.2,1,,
Nucleotides,UDP,C9H14N2O12P2,[M+H]+,405,1,4.447,,97,1,,
Nucleotides,UDP-N-Acetyl Glucosamine,C17H27N3O17P2,[M+H]+,608,1,4.006,,138,1,,
Nucleotides,UDP-N-Acetyl Glucosamine,C17H27N3O17P2,[M+H]+,608,1,4.006,,204,1,,
Nucleotides,UMP,C9H13N2O9P,[M+H]+,325,1,3.766,,97,1,,
Nucleotides,UMP,C9H13N2O9P,[M+H]+,325,1,3.766,,113,1,,
Nucleotides,UTP,C9H15N2O15P3,[M+H]+,485,1,5.449,,41.1,1,,
Nucleotides,UTP,C9H15N2O15P3,[M+H]+,485,1,5.449,,97.1,1,,
Nucleotides,Xanthine,C5H4N4O2,[M+H]+,153,1,4.897,,55.1,1,,
Nucleotides,Xanthine,C5H4N4O2,[M+H]+,153,1,4.897,,110,1,,
